MovementID,ItemID,WarehouseID,MovementType,Quantity,MovementDate,ProcessedBy,Reference,Notes
MV00023,ITM0057,WH004,OUT,-83,2024-01-01,USER001,REF-23,
MV00704,ITM0046,WH005,IN,92,2024-01-01,USER008,REF-704,
MV01424,ITM0073,WH001,OUT,-16,2024-01-01,USER003,REF-1424,
MV02456,ITM0097,WH005,ADJUSTMENT,-8,2024-01-01,USER004,ADJ-2456,Damage
MV02683,ITM0100,WH002,ADJUSTMENT,-82,2024-01-01,USER007,ADJ-2683,Recount
MV02778,ITM0038,WH003,IN,38,2024-01-01,USER007,REF-2778,
MV00100,ITM0012,WH003,IN,74,2024-01-02,USER001,REF-100,
MV00195,ITM0087,WH001,ADJUSTMENT,-1,2024-01-02,USER005,ADJ-195,Expired
MV00208,ITM0038,WH002,IN,83,2024-01-02,USER007,REF-208,
MV00395,ITM0065,WH005,IN,333,2024-01-02,USER001,REF-395,
MV00641,ITM0003,WH003,IN,75,2024-01-02,USER001,REF-641,
MV01227,ITM0008,WH005,OUT,-625,2024-01-02,USER001,REF-1227,
MV01779,ITM0078,WH001,OUT,-26,2024-01-02,USER002,REF-1779,
MV01827,ITM0036,WH002,OUT,-84,2024-01-02,USER001,REF-1827,
MV02307,ITM0091,WH003,ADJUSTMENT,-20,2024-01-02,USER003,ADJ-2307,Expired
MV02761,ITM0049,WH002,OUT,-97,2024-01-02,USER003,REF-2761,
MV02885,ITM0100,WH005,IN,43,2024-01-02,USER004,REF-2885,
MV00062,ITM0010,WH004,ADJUSTMENT,-91,2024-01-03,USER005,ADJ-62,Recount
MV00113,ITM0086,WH005,IN,39,2024-01-03,USER004,REF-113,
MV00415,ITM0020,WH004,IN,89,2024-01-03,USER005,REF-415,
MV00529,ITM0091,WH003,IN,29,2024-01-03,USER006,REF-529,
MV00614,ITM0011,WH002,IN,70,2024-01-03,USER005,REF-614,
MV01147,ITM0040,WH002,IN,97,2024-01-03,USER001,REF-1147,
MV01553,ITM0066,WH004,OUT,-32,2024-01-03,USER005,REF-1553,
MV02029,ITM0056,WH005,OUT,-27,2024-01-03,USER002,REF-2029,
MV02231,ITM0100,WH003,ADJUSTMENT,-61,2024-01-03,USER005,ADJ-2231,Recount
MV02617,ITM0032,WH004,ADJUSTMENT,-77,2024-01-03,USER008,ADJ-2617,Expired
MV02944,ITM0027,WH001,ADJUSTMENT,-42,2024-01-03,USER004,ADJ-2944,Found
MV00006,ITM0005,WH005,IN,491,2024-01-04,USER004,REF-6,
MV00078,ITM0032,WH003,IN,65,2024-01-04,USER002,REF-78,
MV00412,ITM0036,WH002,ADJUSTMENT,-87,2024-01-04,USER002,ADJ-412,Found
MV01276,ITM0031,WH004,ADJUSTMENT,-42,2024-01-04,USER002,ADJ-1276,Recount
MV01535,ITM0065,WH003,OUT,-18,2024-01-04,USER002,REF-1535,
MV02041,ITM0067,WH003,IN,6,2024-01-04,USER007,REF-2041,
MV02355,ITM0020,WH005,IN,49,2024-01-04,USER005,REF-2355,
MV02389,ITM0094,WH004,ADJUSTMENT,-78,2024-01-04,USER004,ADJ-2389,Damage
MV00479,ITM0084,WH002,ADJUSTMENT,-53,2024-01-05,USER007,ADJ-479,Damage
MV00310,ITM0081,WH003,ADJUSTMENT,-50,2024-01-06,USER006,ADJ-310,Lost
MV01153,ITM0037,WH004,ADJUSTMENT,-38,2024-01-06,USER001,ADJ-1153,Recount
MV01641,ITM0030,WH004,ADJUSTMENT,-25,2024-01-06,USER001,ADJ-1641,Expired
MV01725,ITM0078,WH002,IN,99,2024-01-06,USER001,REF-1725,
MV01732,ITM0031,WH005,OUT,-99,2024-01-06,USER007,REF-1732,
MV02119,ITM0084,WH003,IN,42,2024-01-06,USER007,REF-2119,
MV00033,ITM0044,WH005,OUT,-78,2024-01-07,USER005,REF-33,
MV00122,ITM0085,WH003,OUT,-17,2024-01-07,USER002,REF-122,
MV00224,ITM0087,WH004,IN,28,2024-01-07,USER004,REF-224,
MV00264,ITM0071,WH002,ADJUSTMENT,-91,2024-01-07,USER006,ADJ-264,Lost
MV00330,ITM0053,WH002,OUT,-54,2024-01-07,USER001,REF-330,
MV00344,ITM0100,WH003,OUT,-48,2024-01-07,USER001,REF-344,
MV01128,ITM0070,WH005,OUT,-266,2024-01-07,USER008,REF-1128,
MV01275,ITM0031,WH004,OUT,-283,2024-01-07,USER008,REF-1275,
MV01554,ITM0100,WH005,ADJUSTMENT,-88,2024-01-07,USER006,ADJ-1554,Expired
MV01723,ITM0014,WH001,ADJUSTMENT,-87,2024-01-07,USER007,ADJ-1723,Recount
MV01729,ITM0034,WH005,ADJUSTMENT,-75,2024-01-07,USER007,ADJ-1729,Damage
MV02148,ITM0043,WH005,OUT,-1,2024-01-07,USER006,REF-2148,
MV00180,ITM0001,WH001,IN,90,2024-01-08,USER001,REF-180,
MV00359,ITM0022,WH001,OUT,-34,2024-01-08,USER004,REF-359,
MV00513,ITM0068,WH003,IN,14,2024-01-08,USER008,REF-513,
MV01212,ITM0043,WH002,IN,17,2024-01-08,USER006,REF-1212,
MV01343,ITM0093,WH004,ADJUSTMENT,-532,2024-01-08,USER007,ADJ-1343,Found
MV01829,ITM0018,WH004,OUT,-97,2024-01-08,USER008,REF-1829,
MV00241,ITM0062,WH001,OUT,-57,2024-01-09,USER003,REF-241,
MV00793,ITM0100,WH004,OUT,-81,2024-01-09,USER007,REF-793,
MV01234,ITM0096,WH002,ADJUSTMENT,-83,2024-01-09,USER006,ADJ-1234,Damage
MV01516,ITM0076,WH002,ADJUSTMENT,-26,2024-01-09,USER005,ADJ-1516,Found
MV01619,ITM0016,WH002,ADJUSTMENT,-98,2024-01-09,USER002,ADJ-1619,Recount
MV01750,ITM0033,WH004,ADJUSTMENT,-55,2024-01-09,USER005,ADJ-1750,Found
MV01823,ITM0099,WH002,ADJUSTMENT,-8,2024-01-09,USER002,ADJ-1823,Found
MV02758,ITM0032,WH003,OUT,-307,2024-01-09,USER002,REF-2758,
MV00372,ITM0007,WH004,IN,63,2024-01-10,USER006,REF-372,
MV00478,ITM0012,WH002,IN,7,2024-01-10,USER007,REF-478,
MV00620,ITM0029,WH003,ADJUSTMENT,-60,2024-01-10,USER002,ADJ-620,Damage
MV02146,ITM0099,WH002,ADJUSTMENT,-84,2024-01-10,USER007,ADJ-2146,Lost
MV02252,ITM0017,WH003,OUT,-68,2024-01-10,USER008,REF-2252,
MV02276,ITM0015,WH001,IN,75,2024-01-10,USER001,REF-2276,
MV02689,ITM0085,WH003,IN,3,2024-01-10,USER006,REF-2689,
MV02939,ITM0004,WH004,ADJUSTMENT,-39,2024-01-10,USER008,ADJ-2939,Found
MV00109,ITM0061,WH001,ADJUSTMENT,-98,2024-01-11,USER001,ADJ-109,Recount
MV00217,ITM0093,WH003,OUT,-90,2024-01-11,USER004,REF-217,
MV01430,ITM0093,WH005,ADJUSTMENT,-2,2024-01-11,USER006,ADJ-1430,Lost
MV02388,ITM0056,WH004,OUT,-25,2024-01-11,USER003,REF-2388,
MV02773,ITM0006,WH004,OUT,-23,2024-01-11,USER001,REF-2773,
MV00013,ITM0042,WH002,OUT,-31,2024-01-12,USER006,REF-13,
MV00899,ITM0043,WH004,IN,38,2024-01-12,USER004,REF-899,
MV01304,ITM0012,WH005,OUT,-60,2024-01-12,USER006,REF-1304,
MV02615,ITM0065,WH002,IN,95,2024-01-12,USER003,REF-2615,
MV02688,ITM0071,WH001,IN,44,2024-01-12,USER003,REF-2688,
MV00360,ITM0041,WH003,ADJUSTMENT,-57,2024-01-13,USER003,ADJ-360,Found
MV00489,ITM0059,WH003,ADJUSTMENT,-28,2024-01-13,USER008,ADJ-489,Damage
MV00566,ITM0085,WH002,IN,67,2024-01-13,USER003,REF-566,
MV00661,ITM0084,WH004,ADJUSTMENT,-262,2024-01-13,USER005,ADJ-661,Expired
MV01167,ITM0084,WH001,ADJUSTMENT,-75,2024-01-13,USER002,ADJ-1167,Expired
MV01778,ITM0003,WH004,IN,59,2024-01-13,USER006,REF-1778,
MV02337,ITM0072,WH001,ADJUSTMENT,-16,2024-01-13,USER003,ADJ-2337,Recount
MV00176,ITM0059,WH001,OUT,-20,2024-01-14,USER003,REF-176,
MV00323,ITM0006,WH004,ADJUSTMENT,-10,2024-01-14,USER007,ADJ-323,Lost
MV00794,ITM0047,WH003,IN,51,2024-01-14,USER007,REF-794,
MV01003,ITM0081,WH004,ADJUSTMENT,-53,2024-01-14,USER006,ADJ-1003,Lost
MV01017,ITM0023,WH002,IN,36,2024-01-14,USER002,REF-1017,
MV01173,ITM0043,WH003,IN,49,2024-01-14,USER006,REF-1173,
MV01503,ITM0075,WH004,ADJUSTMENT,-41,2024-01-14,USER006,ADJ-1503,Damage
MV01811,ITM0100,WH002,OUT,-93,2024-01-14,USER001,REF-1811,
MV02726,ITM0024,WH005,IN,21,2024-01-14,USER006,REF-2726,
MV02772,ITM0060,WH002,ADJUSTMENT,-427,2024-01-14,USER005,ADJ-2772,Recount
MV00397,ITM0016,WH002,ADJUSTMENT,-6,2024-01-15,USER002,ADJ-397,Lost
MV00528,ITM0007,WH003,ADJUSTMENT,-52,2024-01-15,USER005,ADJ-528,Lost
MV01011,ITM0004,WH005,OUT,-48,2024-01-15,USER004,REF-1011,
